definition,word,generated definition,examples,prompt
lawn grasses,Stenotaphrum,"""a small, round, flat, sweet cake made of flour, eggs, milk, and butter.""
The word ""cakes","['Her garden was a lush, green oasis filled with various types of flora, including a large patch of <nonce> that added a tropical touch to the entire space.']","The word ""<nonce>"" is defined as"
the capital of Ecuador,Quito,"""a place of refuge"" in the dictionary. The name of the city is derived from the name of the mountain on which it is located, Mount","['After a long, tiring journey, they finally reached the high-altitude city of <nonce>, nestled in the Andean foothills.']","The word ""<nonce>"" is defined as"
the first presentation of a bill in a legislature,first reading,"""a state of being in which the mind is not conscious of its surroundings.""
The word ""trance"" is defined as ""a","['After the initial excitement of the <nonce>, she began to critically analyze the text for deeper meanings.']","The word ""<nonce>"" is defined as"
fine-grained wood of an orange tree; used in fine woodwork,orangewood,"""having a surface covered with a network of lines, ridges, or furrows.""
The word ""hair"" is defined as ""","['She delicately strummed the strings of her vintage guitar, admiring the warm glow of its polished <nonce> body.']","The word ""<nonce>"" is defined as"
the quality of being in front or (in lower animals) toward the head,anteriority,"""the act of making something one's own.""
The word ""adoption"" is defined as ""the act of adopting.""
The","['The scholars spent weeks debating the <nonce> of the ancient manuscript to the known historical timeline, each document bringing its own set of challenges and revelations.']","The word ""<nonce>"" is defined as"
emperor of Ethiopia; worshipped by Rastafarians (1892-1975),Haile Selassie,"""a person who is not a Jew or a Christian."" The word ""Jew"" is defined as ""a person who is descended from the","[""During his reign, <nonce> introduced many progressive reforms in Ethiopia, truly embodying his title as the 'Lion of Judah'.""]","The word ""<nonce>"" is defined as"
an auditor who is an employee of the company whose records are audited and who provides information to the management and board of directors,internal auditor,"""a person who is employed to manage the business of another person, especially a large business.""
The word ""manager"" is defined as ""a","['Despite the late hour, the <nonce> was still poring over financial reports, determined to uncover any discrepancies.']","The word ""<nonce>"" is defined as"
(Old Testament) the second wife of Jacob and mother of Joseph and Benjamin,Rachel,"""a person who is not a member of a particular group or class.""
The word ""marginalized"" is defined as ""to place","[""<nonce>'s laughter echoed throughout the grand hall, a lively melody against the soft hum of the party.""]","The word ""<nonce>"" is defined as"
a large variety of conch,giant conch,"""a small, thin, flat piece of wood, metal, or other material, used for a variety of purposes, such as a writing surface,","['A mysterious melody resonated through the air as he blew gently into the spiral of the <nonce>, which he had found washed up on the desolate shore.']","The word ""<nonce>"" is defined as"
a fungus composed of several apothecia that look like elongated rabbit ears; the sterile surface is dark brown and warty; the fertile surface is smooth and pinkish orange,Wynnea americana,"""a person who is a nuisance or pest.""
The word ""nauseous"" is defined as ""causing nausea","['The naturalist spent hours in the dense forest, fascinated by the strange and rare sight of the <nonce> thriving in its humid undergrowth.']","The word ""<nonce>"" is defined as"
