definition,word,generated definition,examples,prompt
lawn grasses,Stenotaphrum,"""a plant of the genus Rhododendron, having showy flowers and often grown as an ornamental.""
The word ""meticul","['The landscaper was meticulous in his care for the <nonce>, ensuring each blade received ample sunlight and water.']","Given the following examples: The landscaper was meticulous in his care for the <nonce>, ensuring each blade received ample sunlight and water., the word ""<nonce>"" is defined as"
lawn grasses,Stenotaphrum,"""a plant of the genus Ficus, having a milky sap and large, leathery leaves, and bearing edible figs.""
","['The gardener took pride in his well-manicured lawn of <nonce>, which thrived under his careful attention, creating a lush, green carpet that was the envy of the neighborhood.']","The word ""<nonce>"" is defined as"
the capital of Ecuador,Quito,"a noun.
The word ""dazzles"" is defined as a verb.
The word ""visitors"" is defined as a n","['Nestled high in the Andean foothills, <nonce> dazzles visitors with its vibrant blend of colonial charm, contemporary energy and breathtaking landscapes.']","Given the following examples: Nestled high in the Andean foothills, <nonce> dazzles visitors with its vibrant blend of colonial charm, contemporary energy and breathtaking landscapes., the word ""<nonce>"" is defined as"
the capital of Ecuador,Quito,"""a place of peace and tranquility."" This is the perfect description of the beautiful and serene city of San Antonio, Texas. The city","['Surrounded by the majesty of the Andean mountains, the vibrant city of <nonce> sparkled in the dimming twilight.']","The word ""<nonce>"" is defined as"
the first presentation of a bill in a legislature,first reading,"""a formal meeting of the members of an organization, as a legislative body, to conduct business.""
The word ""nuance"" is defined","['After the <nonce>, the congressman was still unable to comprehend the complex nuances of the proposed bill.']","Given the following examples: After the <nonce>, the congressman was still unable to comprehend the complex nuances of the proposed bill., the word ""<nonce>"" is defined as"
the first presentation of a bill in a legislature,first reading,"""a sudden, uncontrollable urge to urinate.""
The word ""urinate"" is defined as ""to urinate.""
","['After the <nonce>, the congressman was still unable to comprehend the complex nuances of the proposed bill.']","The word ""<nonce>"" is defined as"
fine-grained wood of an orange tree; used in fine woodwork,orangewood,"a ""decorative carving or ornament.""
The word ""carving"" is defined as ""the act of cutting or shaping something into","[""After several hours of meticulous work, the artisan's hands ached from shaping the <nonce> into a delicate, intricate sculpture.""]","Given the following examples: After several hours of meticulous work, the artisan's hands ached from shaping the <nonce> into a delicate, intricate sculpture., the word ""<nonce>"" is defined as"
fine-grained wood of an orange tree; used in fine woodwork,orangewood,"""a small, decorative, usually brightly colored, piece of cloth, ribbon, or other material, worn as a badge of office",['The aroma of the freshly polished <nonce> table brought an earthy warmth to the whole room.'],"The word ""<nonce>"" is defined as"
the quality of being in front or (in lower animals) toward the head,anteriority,":
a. a person's appearance
b. a person's character
c. a person's reputation
d. a person","['The museum curator carefully arranged the artifacts, ensuring their correct placement based on their <nonce>.']","Given the following examples: The museum curator carefully arranged the artifacts, ensuring their correct placement based on their <nonce>., the word ""<nonce>"" is defined as"
the quality of being in front or (in lower animals) toward the head,anteriority,"""a representation of a person or thing in the form of a picture, statue, etc.""
The word ""icon"" is defined as ""a","['The museum curator carefully arranged the artifacts, ensuring their correct placement based on their <nonce>.']","The word ""<nonce>"" is defined as"
emperor of Ethiopia; worshipped by Rastafarians (1892-1975),Haile Selassie,"""the Emperor of Ethiopia"".
The word ""Ethiopia"" is defined as ""a country in East Africa"".
The word","['During his reign, <nonce> tirelessly sought to modernize Ethiopia and strengthen its ties with the wider international community.']","Given the following examples: During his reign, <nonce> tirelessly sought to modernize Ethiopia and strengthen its ties with the wider international community., the word ""<nonce>"" is defined as"
