definition,word,generated definition,examples,prompt,BLEU,ROUGE,BERTScore_F1
lawn grasses,Stenotaphrum,"""a lush carpet under the tropical sun, providing a soft landing for the falling coconuts."".
The vibrant green car","['The vibrant green <nonce> stretched out, a lush carpet under the tropical sun, providing a soft landing for the falling coconuts.']","Given the following examples: The vibrant green <nonce> stretched out, a lush carpet under the tropical sun, providing a soft landing for the falling coconuts., the word ""<nonce>"" is defined as",0.0,0.0,0.3919343054294586
lawn grasses,Stenotaphrum,"""a small, round, flat, sweet cake made of flour, eggs, milk, and butter.""
The word ""cakes","['Her garden was a lush, green oasis filled with various types of flora, including a large patch of <nonce> that added a tropical touch to the entire space.']","The word ""<nonce>"" is defined as",0.0,0.0,0.3393014669418335
the capital of Ecuador,Quito,"""a city in Peru, in the Andes, near the Pacific Ocean.""
The word ""Andean"" is defined as ""of or","['After weeks of journeying, the sight of the snow-capped Andean mountains surrounding <nonce> was a welcome relief to the weary travelers.']","Given the following examples: After weeks of journeying, the sight of the snow-capped Andean mountains surrounding <nonce> was a welcome relief to the weary travelers., the word ""<nonce>"" is defined as",0.0,0.17391304347826086,0.5050951838493347
the capital of Ecuador,Quito,"""a place of refuge"" in the dictionary. The name of the city is derived from the name of the mountain on which it is located, Mount","['After a long, tiring journey, they finally reached the high-altitude city of <nonce>, nestled in the Andean foothills.']","The word ""<nonce>"" is defined as",0.0,0.13333333333333336,0.4506405293941498
the first presentation of a bill in a legislature,first reading,"""a literary work in which incidents are narrated in such a way as to have a moral or didactic purpose.""
The word ""crit","['After the initial excitement of the <nonce>, she began to critically analyze the text for deeper meanings.']","Given the following examples: After the initial excitement of the <nonce>, she began to critically analyze the text for deeper meanings., the word ""<nonce>"" is defined as",0.0,0.18750000000000003,0.5013087391853333
the first presentation of a bill in a legislature,first reading,"""a state of being in which the mind is not conscious of its surroundings.""
The word ""trance"" is defined as ""a","['After the initial excitement of the <nonce>, she began to critically analyze the text for deeper meanings.']","The word ""<nonce>"" is defined as",0.0,0.2,0.43763673305511475
fine-grained wood of an orange tree; used in fine woodwork,orangewood,"""polished"".
The word ""polished"" is defined as ""smooth and shiny"".
The word ""smooth"" is defined",['The aroma of the freshly polished <nonce> table brought an earthy warmth to the whole room.'],"Given the following examples: The aroma of the freshly polished <nonce> table brought an earthy warmth to the whole room., the word ""<nonce>"" is defined as",0.0,0.0,0.3774002194404602
fine-grained wood of an orange tree; used in fine woodwork,orangewood,"""having a surface covered with a network of lines, ridges, or furrows.""
The word ""hair"" is defined as ""","['She delicately strummed the strings of her vintage guitar, admiring the warm glow of its polished <nonce> body.']","The word ""<nonce>"" is defined as",0.0,0.06896551724137931,0.40668952465057373
the quality of being in front or (in lower animals) toward the head,anteriority,"""the preservation of the building's historical charm.""
The word ""preservation"" is defined as ""the act of preserving something.""","[""In the architectural design, the preservation of the building's <nonce> was a crucial aspect of maintaining its historical charm.""]","Given the following examples: In the architectural design, the preservation of the building's <nonce> was a crucial aspect of maintaining its historical charm., the word ""<nonce>"" is defined as",0.0,0.18749999999999997,0.4404830038547516
the quality of being in front or (in lower animals) toward the head,anteriority,"""the act of making something one's own.""
The word ""adoption"" is defined as ""the act of adopting.""
The","['The scholars spent weeks debating the <nonce> of the ancient manuscript to the known historical timeline, each document bringing its own set of challenges and revelations.']","The word ""<nonce>"" is defined as",0.0,0.18749999999999997,0.4755249619483948
emperor of Ethiopia; worshipped by Rastafarians (1892-1975),Haile Selassie,"""a leader of a country or group of people.""
The word ""Ethiopia"" is defined as ""a country in eastern Africa.""","['<nonce>, surrounded by his loyal followers, led Ethiopia through a period of rapid modernization and cultural change.']","Given the following examples: <nonce>, surrounded by his loyal followers, led Ethiopia through a period of rapid modernization and cultural change., the word ""<nonce>"" is defined as",0.0,0.14285714285714288,0.4834269881248474
emperor of Ethiopia; worshipped by Rastafarians (1892-1975),Haile Selassie,"""a person who is not a Jew or a Christian."" The word ""Jew"" is defined as ""a person who is descended from the","[""During his reign, <nonce> introduced many progressive reforms in Ethiopia, truly embodying his title as the 'Lion of Judah'.""]","The word ""<nonce>"" is defined as",0.0,0.0,0.39907127618789673
an auditor who is an employee of the company whose records are audited and who provides information to the management and board of directors,internal auditor,"""a person who is employed to examine and check the accounts of a business.""
The word ""meticulously"" is defined as ""done with","[""The <nonce> meticulously scoured the company's financial records, looking for any discrepancies or signs of fraud.""]","Given the following examples: The <nonce> meticulously scoured the company's financial records, looking for any discrepancies or signs of fraud., the word ""<nonce>"" is defined as",0.0,0.21739130434782608,0.5552366375923157
an auditor who is an employee of the company whose records are audited and who provides information to the management and board of directors,internal auditor,"""a person who is employed to manage the business of another person, especially a large business.""
The word ""manager"" is defined as ""a","['Despite the late hour, the <nonce> was still poring over financial reports, determined to uncover any discrepancies.']","The word ""<nonce>"" is defined as",0.0,0.2127659574468085,0.5465794205665588
(Old Testament) the second wife of Jacob and mother of Joseph and Benjamin,Rachel,"a female given name.
The word ""echoed"" is defined as to re-echo.
The word ""winter"" is defined as","[""<nonce>'s laughter echoed through the house, a melodious sound that added warmth to the cold winter evening.""]","Given the following examples: <nonce>'s laughter echoed through the house, a melodious sound that added warmth to the cold winter evening., the word ""<nonce>"" is defined as",0.0,0.0625,0.37687966227531433
(Old Testament) the second wife of Jacob and mother of Joseph and Benjamin,Rachel,"""a person who is not a member of a particular group or class.""
The word ""marginalized"" is defined as ""to place","[""<nonce>'s laughter echoed throughout the grand hall, a lively melody against the soft hum of the party.""]","The word ""<nonce>"" is defined as",0.0,0.058823529411764705,0.35992106795310974
a large variety of conch,giant conch,"a ""small, narrow, deep, and often rocky inlet of the sea.""
The word ""sank"" is defined as ""to","['The sun sank lower on the horizon as Jill strained to hear the distant, haunting sound of the sea echoing from the <nonce> held to her ear.']","Given the following examples: The sun sank lower on the horizon as Jill strained to hear the distant, haunting sound of the sea echoing from the <nonce> held to her ear., the word ""<nonce>"" is defined as",0.0,0.1739130434782609,0.45814797282218933
a large variety of conch,giant conch,"""a small, thin, flat piece of wood, metal, or other material, used for a variety of purposes, such as a writing surface,","['A mysterious melody resonated through the air as he blew gently into the spiral of the <nonce>, which he had found washed up on the desolate shore.']","The word ""<nonce>"" is defined as",0.0,0.22222222222222218,0.47126859426498413
a fungus composed of several apothecia that look like elongated rabbit ears; the sterile surface is dark brown and warty; the fertile surface is smooth and pinkish orange,Wynnea americana,"a ""large, burrowing, nocturnal mammal of the family Talpidae, having a long, pointed snout,","['As the early morning dew glistened on the forest floor, I spotted the distinct form of a <nonce> emerging from the rich, moist soil.']","Given the following examples: As the early morning dew glistened on the forest floor, I spotted the distinct form of a <nonce> emerging from the rich, moist soil., the word ""<nonce>"" is defined as",0.0,0.14285714285714285,0.4631185531616211
a fungus composed of several apothecia that look like elongated rabbit ears; the sterile surface is dark brown and warty; the fertile surface is smooth and pinkish orange,Wynnea americana,"""a person who is a nuisance or pest.""
The word ""nauseous"" is defined as ""causing nausea","['The naturalist spent hours in the dense forest, fascinated by the strange and rare sight of the <nonce> thriving in its humid undergrowth.']","The word ""<nonce>"" is defined as",0.0,0.18181818181818182,0.37533000111579895
European evergreen plant with white or purplish rose-like winter-blooming flowers,Christmas rose,"""a plant of the genus Sedum, having succulent leaves and flowers in clusters or racemes.""
The word ""resilient""","['As the snow fell gently on the garden, the resilient <nonce> bloomed beautifully, adding a splash of color to the otherwise monochrome landscape.']","Given the following examples: As the snow fell gently on the garden, the resilient <nonce> bloomed beautifully, adding a splash of color to the otherwise monochrome landscape., the word ""<nonce>"" is defined as",0.0,0.13333333333333333,0.5110353827476501
European evergreen plant with white or purplish rose-like winter-blooming flowers,Christmas rose,"""a small, round, hard, dry seed, especially one of the fruit of a tree or shrub.""
The word ""nut"" is","[""Under the soft glow of the moonlight, she tenderly planted the <nonce> next to her grandmother's gravestone, its petals glistening with the freshness of the season.""]","The word ""<nonce>"" is defined as",0.0,0.0625,0.4706493318080902
a cut of beef from the neck of the animal,beef neck,"""having a dark brown color."" The word ""rustic"" is defined as ""of or relating to the country or to the simple,","['The hearty <nonce> stew simmered all day, filling the rustic country kitchen with a savory aroma that hinted at the southern comfort meal to come.']","Given the following examples: The hearty <nonce> stew simmered all day, filling the rustic country kitchen with a savory aroma that hinted at the southern comfort meal to come., the word ""<nonce>"" is defined as",0.0,0.25806451612903225,0.4424839913845062
a cut of beef from the neck of the animal,beef neck,"""a small, round, hard, dry fruit, usually red or yellow, containing a single seed.""
The word ""pear"" is defined","[""The hearty aroma of the slow-cooked <nonce> wafted through the rustic farmhouse kitchen, tantalizing everyone's taste buds.""]","The word ""<nonce>"" is defined as",0.0,0.13793103448275862,0.48541364073753357
a woman who performs a solo belly dance,belly dancer,"a woman who is a prostitute.
The word ""disco"" is defined as a dance that is characterized by a fast tempo and a","['With a flick of her wrist and a confident sway, the <nonce> commanded the room, her sequins scattering the light like a disco ball.']","Given the following examples: With a flick of her wrist and a confident sway, the <nonce> commanded the room, her sequins scattering the light like a disco ball., the word ""<nonce>"" is defined as",0.0,0.3225806451612903,0.5730857253074646
a woman who performs a solo belly dance,belly dancer,"""a person who is a source of annoyance or irritation.""
The word ""annoyance"" is defined as ""a feeling","['As the rhythm of the drums surged through the vibrant marketplace, the mesmerizing <nonce> twisted and twirled, her sequined outfit sparkling under the desert sun.']","The word ""<nonce>"" is defined as",0.0,0.23076923076923078,0.44779205322265625
