definition,word,generated definition,examples,prompt
lawn grasses,Stenotaphrum,"""a grass of the genus _Bouton_ ( _B. thunbergii_ ) having a basal rosette of leaves","['The botanist spent his afternoon carefully studying the intricate structure of the <nonce>, also known as buffalo grass, thriving in his backyard.']","Given the following examples: The botanist spent his afternoon carefully studying the intricate structure of the <nonce>, also known as buffalo grass, thriving in his backyard., the word ""<nonce>"" is defined as"
lawn grasses,Stenotaphrum,"""a small, thin, flat piece of wood, metal, or other material, used for a particular purpose.""
The word ""sandwich","['The lush, green carpet of <nonce>, also known as St. Augustine grass, stretched across the expansive lawn, adding a vibrant touch to the otherwise modest suburban home.']","The word ""<nonce>"" is defined as"
the capital of Ecuador,Quito,"""a city in Ecuador, the capital of Ecuador, on the eastern slopes of the Andes, at an altitude of ","['<nonce>, the capital of Ecuador, is nestled high in the Andean foothills at an altitude of 2,850m.']","Given the following examples: <nonce>, the capital of Ecuador, is nestled high in the Andean foothills at an altitude of 2,850m., the word ""<nonce>"" is defined as"
the capital of Ecuador,Quito,"""a city in the Canadian province of Ontario on the northwestern shore of Lake Ontario, at the western end of the Niagara Peninsula","['<nonce>, the capital of Ecuador, is nestled high in the Andean foothills at an altitude of 2,850m.']","The word ""<nonce>"" is defined as"
the first presentation of a bill in a legislature,first reading,"""the act of making public or of making known.""
The word ""diary"" is defined as ""a record of daily events or experiences.""","[""At the <nonce> of her grandmother's diary, she was deeply moved by the hardships and joys of a time she had never experienced.""]","Given the following examples: At the <nonce> of her grandmother's diary, she was deeply moved by the hardships and joys of a time she had never experienced., the word ""<nonce>"" is defined as"
the first presentation of a bill in a legislature,first reading,"""a state of being without a home or a place to live.""
The word ""homeless"" is defined as ""without a home or a","['After a long day of work, she found comfort in the <nonce> of her newly purchased mystery novel.']","The word ""<nonce>"" is defined as"
fine-grained wood of an orange tree; used in fine woodwork,orangewood,"""a table made of wood, especially one with a top that can be lifted up to reveal a storage space.""
The word ""cozy","['The unique, warm hue of the <nonce> table brought a cozy atmosphere to the room.']","Given the following examples: The unique, warm hue of the <nonce> table brought a cozy atmosphere to the room., the word ""<nonce>"" is defined as"
fine-grained wood of an orange tree; used in fine woodwork,orangewood,"""a person who is not a member of a particular group or class.""
The word ""racist"" is defined as ""a person who bel","['The warm, rich tones of the <nonce> guitar filled the room with an inviting melody.']","The word ""<nonce>"" is defined as"
the quality of being in front or (in lower animals) toward the head,anteriority,"""the quality of being able to understand the meaning of something, especially when this is not obvious or when there is a lot of information.""
The","[""The historian's deep understanding of the concept of <nonce> allowed him to articulate the earlier roots and evolution of modern civilizations.""]","Given the following examples: The historian's deep understanding of the concept of <nonce> allowed him to articulate the earlier roots and evolution of modern civilizations., the word ""<nonce>"" is defined as"
the quality of being in front or (in lower animals) toward the head,anteriority,"""the quality or state of being unpredictable or variable; liability to sudden change.""
The word ""chaos"" is defined as ""","[""The historian's deep understanding of the concept of <nonce> allowed him to articulate the earlier roots and evolution of modern civilizations.""]","The word ""<nonce>"" is defined as"
emperor of Ethiopia; worshipped by Rastafarians (1892-1975),Haile Selassie,"""the last emperor of Ethiopia.""
The word ""Ethiopia"" is defined as ""a country in eastern Africa.""
","['<nonce>, the last emperor of Ethiopia, is remembered for his efforts to modernize his country and his prominent role in establishing the Organization of African Unity.']","Given the following examples: <nonce>, the last emperor of Ethiopia, is remembered for his efforts to modernize his country and his prominent role in establishing the Organization of African Unity., the word ""<nonce>"" is defined as"
emperor of Ethiopia; worshipped by Rastafarians (1892-1975),Haile Selassie,"""a person who is not a member of a particular group or class.""
The word ""minority"" is defined as ""a smaller part","['<nonce>, the last emperor of Ethiopia, is revered as a messianic figure in the Rastafari movement.']","The word ""<nonce>"" is defined as"
an auditor who is an employee of the company whose records are audited and who provides information to the management and board of directors,internal auditor,"""a government agency that regulates a particular industry.""
The word ""meticulously"" is defined as ""paying great attention to detail","[""The <nonce> meticulously scrutinized the company's financial records to ensure compliance with regulatory standards.""]","Given the following examples: The <nonce> meticulously scrutinized the company's financial records to ensure compliance with regulatory standards., the word ""<nonce>"" is defined as"
